Path	Sample Name	Tissue Category	Phenotype	Cell ID	Total Cells	Tissue Category Area (square microns)	Cell Density (per square mm)	Cell X Position	Cell Y Position	Process Region ID	Distance from Process Region Edge (microns)	Category Region ID	Distance from Tissue Category Edge (microns)	Nucleus Area (square microns)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Nucleus Axis Ratio	Nucleus blue hematox Min (Optical Density, Peak Weighting)	Nucleus blue hematox Mean (Optical Density, Peak Weighting)	Nucleus blue hematox Max (Optical Density, Peak Weighting)	Nucleus blue hematox Std Dev (Optical Density, Peak Weighting)	Nucleus blue hematox Total (Optical Density, Peak Weighting)	Nucleus DAB Min (Optical Density, Peak Weighting)	Nucleus DAB Mean (Optical Density, Peak Weighting)	Nucleus DAB Max (Optical Density, Peak Weighting)	Nucleus DAB Std Dev (Optical Density, Peak Weighting)	Nucleus DAB Total (Optical Density, Peak Weighting)	Lab ID	Slide ID	Annotation ID	TMA Sector	TMA Row	TMA Column	TMA Field	Confidence	inForm 2.4.7467.26870
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	F	59558				15871.8	39984.5	#N/A	#N/A	5372	7.3	24.0	0.01%	0.55	4.55	8.23	1.81	0.010	0.082	0.139	0.030	7.914	0.025	0.093	0.149	0.027	8.925		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	40.98%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	59559				16169.8	39984.0	#N/A	#N/A	5372	3.2	18.0	0.01%	0.70	4.74	5.11	1.08	0.066	0.159	0.248	0.050	11.439	0.012	0.026	0.063	0.011	1.898		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	55.71%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	59560				16042.3	39985.5	#N/A	#N/A	#N/A	2.0	39.5	0.02%	0.66	6.50	8.50	1.31	0.005	0.042	0.095	0.023	6.563	0.058	0.214	0.347	0.074	33.823		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	63.67%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	59561				16162.3	39985.0	#N/A	#N/A	5372	9.6	21.3	0.01%	0.74	4.01	6.50	1.62	0.034	0.098	0.162	0.030	8.319	0.111	0.259	0.408	0.076	22.014		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	49.37%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	59562				15903.8	39987.5	#N/A	#N/A	#N/A	0.5	26.5	0.02%	0.55	5.10	7.92	1.55	0.000	0.101	0.312	0.056	10.716	0.049	0.128	0.299	0.047	13.585		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	53.53%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	59563				16323.8	39986.0	#N/A	#N/A	5372	6.7	13.5	0.01%	0.59	4.29	5.15	1.20	0.068	0.106	0.144	0.018	5.736	0.040	0.079	0.125	0.022	4.245		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	36.36%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	Tar	59564				15897.8	39988.0	#N/A	#N/A	#N/A	2.0	22.8	0.01%	0.52	4.39	7.57	1.73	0.010	0.091	0.343	0.065	8.312	0.034	0.117	0.288	0.047	10.664		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	48.59%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	59565				16203.3	39987.5	#N/A	#N/A	5372	10.5	16.3	0.01%	0.80	4.50	4.50	1.00	0.016	0.061	0.131	0.024	3.941	0.047	0.135	0.279	0.049	8.785		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	69.09%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	59566				16264.8	39988.5	#N/A	#N/A	5372	17.0	19.0	0.01%	0.63	4.11	6.66	1.62	0.003	0.039	0.075	0.018	2.953	0.034	0.135	0.235	0.047	10.243		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	62.12%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	59567				16293.8	39992.0	#N/A	#N/A	#N/A	0.5	37.8	0.02%	0.73	7.00	7.00	1.00	0.000	0.063	0.105	0.022	9.471	0.067	0.148	0.212	0.036	22.357		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	73.37%	
